693,Country:intermediate-region-code,ERI,014
694,Country:name,EST,Estonia
695,Country:alpha-2,EST,EE
696,Country:alpha-3,EST,EST
697,Country:country-code,EST,233
698,Country:iso_3166-2,EST,ISO 3166-2:EE
699,Country:region,EST,Europe
700,Country:sub-region,EST,Northern Europe
701,Country:region-code,EST,150
702,Country:sub-region-code,EST,154
703,Country:name,SWZ,Eswatini
704,Country:alpha-2,SWZ,SZ
705,Country:alpha-3,SWZ,SWZ
706,Country:country-code,SWZ,748
707,Country:iso_3166-2,SWZ,ISO 3166-2:SZ
708,Country:region,SWZ,Africa
709,Country:sub-region,SWZ,Sub-Saharan Africa
710,Country:intermediate-region,SWZ,Southern Africa
711,Country:region-code,SWZ,002
712,Country:sub-region-code,SWZ,202
713,Country:intermediate-region-code,SWZ,018
714,Country:name,ETH,Ethiopia
715,Country:alpha-2,ETH,ET
716,Country:alpha-3,ETH,ETH
717,Country:country-code,ETH,231
718,Country:iso_3166-2,ETH,ISO 3166-2:ET
719,Country:region,ETH,Africa
720,Country:sub-region,ETH,Sub-Saharan Africa
721,Country:intermediate-region,ETH,Eastern Africa
722,Country:region-code,ETH,002
723,Country:sub-region-code,ETH,202
724,Country:intermediate-region-code,ETH,014
725,Country:name,FLK,Falkland Islands (Malvinas)
726,Country:alpha-2,FLK,FK
727,Country:alpha-3,FLK,FLK
728,Country:country-code,FLK,238
729,Country:iso_3166-2,FLK,ISO 3166-2:FK
730,Country:region,FLK,Americas
731,Country:sub-region,FLK,Latin America and the Caribbean
